Structured name,Required,Required by,Column number,Definition,Expected value,Value syntax,Example,Default,ERMIN ID
emission_quantity_units,Yes,,12,"Units of reported ""emission_quantity"" field e.g. kg. Use SI base units and standard abbreviations when possible. https://en.wikipedia.org/wiki/SI_base_unit",units,{text},kg,kg,ERMIN:0000010
carbon_equivalency_method,Dependent,emitted_product_formula,13,Method used for calculating carbon equivalency if emitted product formula was CO2e.,carbon equivalency method,[20-year|100-year],20-year,,ERMIN:0000011
start_time,Yes,,14,"The start time using Coordinated Universal Time (UTC) of emissions, as a single point in time. In case no exact time is available, or in case the emissions pertain to a period of time, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant. If end_time is omitted, time is understood to cover the duration of the period defined by start_time. For example, if start_time is 2008-01 and end_time is omitted, then the time is understood to cover the entire month of January, 2008.",date and time or interval,{timestamp},2018-01,,ERMIN:0000012
end_time,No,,15,"The end time, inclusive, using Coordinated Universal Time (UTC) of emissions, as a single point in time. Follows format of ""start_time"". May be omitted. See ""start_time"" definition.",,{timestamp},,,
data_version,Yes,,16,"Version of data in case corrections have been made to the same data report. This is a decimal value, such as 1.5. When in doubt, use numbers less than 1 to indicate test data, and 1.0 to indicate the first reported version of real data.",version number,{float},1.0,1.0,ERMIN:0000013
data_version_changelog,Yes,,17,Description of changes to this data version relative to the previous version. Required if data_version > 1.0,change log,{text},,,ERMIN:0000014
reporting_timestamp,Yes,,18,"time and date when emissions are being reported. See emissions_timestamp for formatting. Intervals not accepted, only a point in time.  Will be automatically populated if not included.",timestamp,{timestamp},2022-03-03 19:23,"If empty, auto-fill with timestamp of data validation.",ERMIN:0000015
capacity,No,,19,"Capacity of the entity producing the emissions, not including units. This has different interpretations in different sectors. When in doubt of the most natural choice of capacity and activity units, start with the most natural emissions_factor (e.g. kg CO2 per nautical mile, or kg CO2 per acre of forest burned, or kg CO2 per day per head of cattle), and work backwards to find a sensible choice for capacity and activity units. See here for known definitions: https://docs.google.com/spreadsheets/d/1CoYHj2IEvBUaokWtl65ncRAlzGyzT4EFK74VDISZ_8Y/edit#gid=1250881742",capacity,{float},40,,ERMIN:0000016
capacity_units,No,,20,"Units of reported ""capacity"" field e.g. kw. Use SI base units and standard abbreviations when possible. https://en.wikipedia.org/wiki/SI_base_unit",units,{text},kw,,ERMIN:0000017
activity,No,,21,"Activity of the entity producing the emissions, not including units. See definition of ""capacity"".",activity,{float},250.25,,ERMIN:0000018
activity_units,No,,22,"Units of reported ""activity"" field. Use SI base units and standard abbreviations when possible. https://en.wikipedia.org/wiki/SI_base_unit.",units,{text},h,,ERMIN:0000019
emissions_factor,No,,23,"Emissions factor of reported activity. This has different interpretations in different sectors. See definition of ""capacity""",emissions factor,{float},1.25,,ERMIN:0000020
emissions_factor_units,No,,24,"Units of reported ""emissions factor"" field. Use SI base units and standard abbreviations when possible. https://en.wikipedia.org/wiki/SI_base_unit.",units,{text},kwh,,ERMIN:0000021
lat_lon,No,,25,"A spatial description of the origin of the emissions using well-known-text (WKT) representation. If the emissions are tied to a specific geopolitical entity, such as a country or municipality, provide the lat/long coordinates of the center of the entity. If the location is tied to a specific latitude and longitude, such as a physical address, provide a point lat/long. If the emissions come from an area, provide a Polygon or Multipolygon, all following WKT format (https://en.wikipedia.org/wiki/Well-known_text_representation_of_geometry). If the emissions are widely dispersed as with shipping-related emissions, use the geographical center of the responsible entity.",WKT-formatted vector geometry using lat/long,{wkt},POINT (50.586825 6.408977),,ERMIN:0000022
confidence_tier,No,,26,"From UNFCCC (https://unfccc.int/resource/docs/publications/09_resource_guide3.pdf): ""Tier 1 methods typically utilize IPCC default emission factors and require the most basic, and least disaggregated, activity data. Higher tiers usually utilize more elaborate methods and source-specific, technology-specific, regionspecific and/or country-specific emission factors, which are often based on measurements, and normally require more highly disaggregated activity data. Tier 2 and 3 methods require more detailed data and/or measurements for their application. In cases where a national methodology exists, which is consistent with the IPCC Guidelines, it is highly advisable to use the national methodology. This methodology should be fully documented in order to allow the reader to understand why this particular method is better than the default one proposed by the IPCC."" Generally, Tier 3 refers to nationally or internationally accepted methodologies, Tier 2 refers to data measured independently using a well-documented methodology with at least some published validation of the methodology, and Tier 1 refers to self-reported data, data expected to have substantial noise or error, data produced without documented methodologies, or data whose validity is otherwise suspect.",confidence tier,[1|2|3],1,,ERMIN:0000025
confidence_tier_description,No,,27,"Description of why a given tier was chosen for ""confidence_tier""",description,{text},,,ERMIN:0000026
variance,No,,28,"Expected variance in estimate of emissions data reported. Leave this as NA unless you are using a method that is specifically designed to estimate variance in an emissions report. This can use any form of variance or error estimation, such as root-mean-squared error, mean absolute error, normalized root-mean-squared-error, mean absolute percentage error, standard deviation, confidence interval, or even a histogram. Use the field ""variance_type"" to describe the type of variance. Use the field ""variance_method"" to describe the method used to calculate this. Can be a confidence interval specified with (lower, upper). To accomodate probabilistic models, can be a histogram table representing a discretized distribution over possible values with any level of granularity, in the format ""(start,end]:count,(start,end]:count,..."" or ""[start,end):count,[start,end):count,..."". For the histogram type, count values can be integer counts or fractions, a parenthesis specifies an open (non-inclusive) end of an interval, and a square bracket specifies a closed (inclusive) end of an interval. ",accuracy,{float},0.9,,ERMIN:0000027
variance_type,No,,29,"Type of variance reported in ""variance"", using abbreviation when known, such as root-mean-squared error (RMSE), mean absolute error (MAE), normalized root-mean-squared-error (NRMSE), mean absolute percentage error (MAPE), standard deviation (SD), histogram (HIST). Can also be a confidence interval, specificed as CIXX or CIXX.X, e.g. CI95 for a 95% confidence interval, or CI66.7 for a 66.7% confidence interval.",accuracy type,[RMSE|NRMSE|MAE|MAPE|SD|HIST|CI{float}|other],CI66.7,,ERMIN:0000028
variance_method,No,,30,"Description of method used to estimate ""variance"". Include URL or DOI if applicable.",description,{text},,,ERMIN:0000029
emitted_product_name,No,,31,"This field describes the product that was emitted in the reported event, using its common English name. For example, carbon_dioxide or methane. The full list of options was derived from this IPCC document: https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/1_Volume1/V1_8_Ch8_Reporting_Guidance.pdf. For products not included in this list, use ""other"" and provide a custom description, using underscores instead of spaces, in the ""other_emitted_product_description"" field. ","carbon_dioxide_equivalent, carbon_dioxide, methane, nitrous oxide, hydroflurocarbons, perfluorocarbons, sulphur hexafluoride, nitrogen trifluoride, trifluoromethyl sulphur pentafluoride, halogenated ethers, other halocarbons, other halogenated ghgs, other",[carbon_dioxide|methane|nitrous oxide|hydroflurocarbons|perfluorocarbons|sulphur_hexafluoride|nitrogen_trifluoride|trifluoromethyl_sulphur_pentafluoride|halogenated_ethers|other halocarbons|other_halogenated_ghgs|other],carbon_dioxide,,ERMIN:0000030
other_emitted_product_description,Dependent,emitted_product_name,32,"Description of emitted product, required if ""other"" was chosen for ""emitted_product_name""",description,{text},other hydroflourocarbons,,ERMIN:0000031
responsible_entity_name,No,,33,"Name of the entity to which emissions are being attributed, i.e. entity most immediately responsible for the emissions, if applicable. For example, emissions from a ship would be most immediately the responsibility of the company that owns the ship. Emissions from a power plant would be attributed to the municipality controling that power plant. Country-level emissions would be attributed to the country using the ""Preferred Name"" of the  geographic entity from the GAZ ontology (v 1.512) (http://purl.bioontology.org/ontology/GAZ), e.g. ""French Republic"" for France. Spatially described emissions, such as those described by an atmospheric observation, would enter NA for not applicable.",name,{text},French Republic,,ERMIN:0000032
unfccc_annex_1_category_is_subset,No,,34,Indicate TRUE/FALSE if this report is expected to cover a subset of the unfcc_annex_1_category indicated.,yes/no,[TRUE|FALSE],yes,,ERMIN:0000033
unfccc_annex_1_category_subset_fraction,No,,35,"Expected fraction of unfcc_annex_1_category subsector indicated, if ""unfcc_annex_1_category_is_subset"" is ""yes"". Only include this if you have used a methodology to estimate the fraction of the category covered, or if the reported value is zero. If the reported value is zero, and is expected to be non-zero, enter ""0"". Otherwise, omit this field.",fraction,{float},0.75,,ERMIN:0000034
unfccc_annex_1_category_subset_estimation_method,Dependent,unfccc_annex_1_category_is_subset,36,"Description of methodology for estimating the subset fraction reported in ""unfcc_annex_1_category_subset_fraction"". Use title of publication if using published methods, or notes describing why this was indicated to be a subset. Required if unfcc_annex_1_category_is_subset is ""yes"".",description,{text},Subtracting estimated fraction of electric vehicles in this locality.,,ERMIN:0000035
unfccc_annex_1_category_subset_estimation_method_doi_or_url,No,,37,"DOI or, if not available, URL of publication describing methodology for estimating the subset fraction reported in ""unfcc_annex_1_category_subset_fraction""",DOI or URL,[DOI:{doi}|URL:{url}],DOI:10.1016/j.trc.2012.07.007,,ERMIN:0000036
missing_data,No,,38,"For example, if reporting zero for a given category, but the emissions are expected to be greater than zero, you should enter ""yes"" to indicate expected missing data.",yes or no,[TRUE | FALSE],yes,,ERMIN:0000037
missing_data_description,Dependent,missing_data,39,"Description of why missing_data is ""yes""",description,{text},,,ERMIN:0000038
